id,turns,victory_status,winner,white_id,white_rating,black_id,black_rating
TZJHLljE,13,outoftime,white,bourgris,1500,a-00,1191
l1NXvwaE,16,resign,black,a-00,1322,skinnerua,1261
mIICvQHh,61,mate,white,ischia,1496,a-00,1500
kWKvrqYL,61,mate,white,daniamurashov,1439,adivanov2009,1454
9tXo1AUZ,95,mate,white,nik221107,1523,adivanov2009,1469
MsoDV9wj,5,draw,draw,trelynn17,1250,franklin14532,1002
qwU9rasv,33,resign,white,capa_jr,1520,daniel_likes_chess,1423
RVN0N3VK,9,resign,black,daniel_likes_chess,1413,soultego,2108
dwF3DJHO,66,resign,black,ehabfanri,1439,daniel_likes_chess,1392
afoMwnLg,119,mate,white,daniel_likes_chess,1381,mirco25,1209
HgKLWPsz,39,mate,white,daniel_likes_chess,1381,anaissac,1272
Vf5fKWzI,38,resign,black,daniel_likes_chess,1381,subham777,1867
HRti5mKv,60,resign,black,daniel_likes_chess,1381,roman12342005,1936
2fEjSei6,31,resign,black,daniel_likes_chess,1381,alkhan,1607
u7i6dOaJ,31,mate,white,shivangithegenius,1094,sureka_akshat,1141
guanvMR5,43,resign,black,sureka_akshat,1141,shivangithegenius,1094
PmpkWkmm,52,resign,black,shivangithegenius,1094,sureka_akshat,1141
EwaK0IsE,66,mate,black,sureka_akshat,1141,shivangithegenius,1094
yrSDozT3,101,resign,black,shivangithegenius,1094,slam_ment,1300
x31mXlvc,25,resign,white,g-ios,1500,shivangithegenius,1094
oQklnWWp,14,resign,black,shivangithegenius,1094,lex_v1,1676
QFCZwY1f,3,resign,white,shivangithegenius,1094,themannichreaction,1068
5cgBygpI,17,resign,white,storm28rus,1500,shivangithegenius,1094
UhXXBOMY,36,resign,white,robotsmoke,1307,shivangithegenius,1106
mCij4hBq,13,resign,black,shivangithegenius,1113,ivangonzalez123,1423
ifUMWtVj,69,mate,white,shivangithegenius,1078,sureka_akshat,1219
Wf0zuLQQ,43,resign,white,gmcarlsen403,1825,shivangithegenius,1079
srz9QfSN,54,mate,black,mannat1,1328,shivangithegenius,1038
NS6ccssb,53,resign,black,shivangithegenius,1056,biyanivedant01,1156
M3vpf2Ki,66,mate,black,shivangithegenius,1077,chinmaysharma,1148
fXhNOnOn,64,resign,black,biyanivedant01,1358,shivangithegenius,1036
DiCTkvZH,64,mate,black,rv0209,1200,shivangithegenius,1002
FSkgvV2E,54,resign,white,vihaandumir,1203,shivangithegenius,1019
F1mRjzPr,21,resign,black,shivangithegenius,1019,shamlanaseer,1500
Lq24M4KQ,11,resign,white,medovich,1422,shivangithegenius,975
lHNM8cl5,19,resign,black,shivangithegenius,976,sorethea,1832
GfeEgLV3,28,resign,white,rico21,1569,shivangithegenius,978
OR6aULrW,22,resign,black,shivangithegenius,978,jojo58,1500
Yg006qwa,37,resign,white,jojo58,1500,shivangithegenius,978
G5S21pXK,34,resign,white,rajuppi,2449,shivangithegenius,978
R9a2DLwe,32,draw,draw,white_queen_1990,1207,shivangithegenius,978
r4LcBZA7,71,resign,black,milestretch,1241,shivangithegenius,978
SDDXGw21,30,resign,white,stephen789,1500,shivangithegenius,978
oqoT4DLS,66,resign,white,rajuppi,2443,shivangithegenius,978
eSociDPG,41,resign,white,hmbrgr,1500,shivangithegenius,978
